City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,murrells inlet,33.551,-79.0414,25.59,82,40,5.66,US,1685393042
311,orkney,-26.9802,26.6727,14.92,39,100,3.12,ZA,1685393525
312,awjilah,29.1081,21.2869,25.58,26,7,3.28,LY,1685393525
313,colchani,-20.3,-66.9333,7.49,28,0,5.25,BO,1685393525
314,rizokarpaso,35.6,34.375,19.97,76,0,4.03,CY,1685393526
315,tindouf,27.6711,-8.1474,24.25,27,0,10.29,DZ,1685393526
316,al bayda',32.7627,21.7551,15.43,71,99,1.28,LY,1685393526
317,senatobia,34.6176,-89.9687,29.02,51,45,0.89,US,1685393526
318,port lincoln,-34.7333,135.8667,14.56,91,75,3.37,AU,1685393527
319,eyl,7.9803,49.8164,28.18,80,94,7.89,SO,1685393527
320,zhongxing,33.7039,118.6792,18.15,92,90,2.36,CN,1685393527
321,tomelilla,55.5429,13.9546,11.7,76,45,4.11,SE,1685393528
322,al 'amarah,31.8406,47.1396,33.84,22,100,6.05,IQ,1685393528
323,fortaleza,-3.7227,-38.5247,29.07,70,20,5.66,BR,1685393339
324,antsiranana,-12.2787,49.2917,24.2,81,2,4.87,MG,1685393528
325,susuman,62.7833,148.1667,7.86,67,74,1.14,RU,1685393529
326,savanna-la-mar,18.219,-78.1332,31.07,72,45,1.15,JM,1685393529
327,al bardiyah,31.7561,25.0865,19.98,75,4,1.83,LY,1685393529
328,big bend,-26.8167,31.9333,19.05,88,100,0.0,SZ,1685393328
329,staroaleyskoye,51.0061,82.0,10.28,88,96,2.79,RU,1685393530
330,fang,19.9169,99.2145,23.93,84,37,0.6,TH,1685393530
331,las animas,-39.8087,-73.2182,8.08,77,69,0.7,CL,1685393465
332,asind,25.7333,74.3333,27.06,57,99,2.92,IN,1685393531
333,sittwe,20.15,92.9,28.31,77,35,2.93,MM,1685393531
334,buala,-8.145,159.5921,27.18,83,100,2.9,SB,1685393532
335,kurumkan,54.3,110.3,7.93,69,49,1.45,RU,1685393532
336,fiambala,-27.6871,-67.6149,17.43,41,31,4.19,AR,1685393532
337,concord,37.978,-122.0311,24.77,56,0,6.17,US,1685393261
338,choibalsan,48.0667,114.5,11.96,23,100,3.86,MN,1685393533
339,jataizinho,-23.2542,-50.98,23.32,68,20,4.63,BR,1685393533
340,ancud,-41.8697,-73.8203,7.47,80,100,2.33,CL,1685393276
341,uliastay,47.7417,96.8444,4.79,91,57,1.23,MN,1685393533
342,suva,-18.1416,178.4415,24.71,94,75,1.03,FJ,1685393436
343,santa cruz,-17.8,-63.1667,19.03,72,75,4.12,BO,1685393534
344,misratah,32.3754,15.0925,20.87,72,100,10.56,LY,1685393534
345,bambui,-20.0064,-45.9769,21.45,68,88,2.83,BR,1685393535
346,mount pearl,47.5166,-52.7813,6.09,82,100,6.69,CA,1685393535
347,solleftea,63.1667,17.2667,6.26,75,25,6.1,SE,1685393535
348,undurkhaan,47.3194,110.6556,15.47,28,100,2.69,MN,1685393536
349,turochak,52.2576,87.1224,5.96,96,100,1.22,RU,1685393536
350,cole harbour,44.6724,-63.4751,13.87,50,20,8.23,CA,1685393536
351,prado,-17.3411,-39.2208,23.22,84,34,3.09,BR,1685393536
352,millerovo,48.9226,40.3967,16.06,95,100,3.69,RU,1685393537
353,hami,42.8,93.45,15.15,44,77,3.9,CN,1685393537
354,okha,53.5739,142.9478,2.62,91,100,6.21,RU,1685393538
355,la sarre,48.8002,-79.1996,23.53,32,10,1.94,CA,1685393407
356,bushehr,28.9684,50.8385,29.05,74,0,2.06,IR,1685393538
357,egirdir,37.8746,30.8504,13.6,93,100,3.24,TR,1685393539
358,sena madureira,-9.0656,-68.6569,25.72,94,51,1.33,BR,1685393539
359,torghay,49.6339,63.4981,22.58,28,75,3.85,KZ,1685393540
